IDCIDADE,NOME,UF
11,Alta Floresta D Oeste,RO
12,Ariquemes,RO
13,Cabixi,RO
14,Cacoal,RO
15,Cerejeiras,RO
16,Colorado do Oeste,RO
17,Corumbiara,RO
18,Costa Marques,RO
19,Espig?o D Oeste,RO
20,Guajar?-Mirim,RO
21,Jaru,RO
22,Ji-Paran?,RO
23,Machadinho D Oeste,RO
24,Nova Brasil?ndia D Oeste,RO
25,Ouro Preto do Oeste,RO
26,Pimenta Bueno,RO
27,Porto Velho,RO
28,Presidente M?dici,RO
29,Rio Crespo,RO
30,Rolim de Moura,RO
31,Santa Luzia D Oeste,RO
32,Vilhena,RO
33,S?o Miguel do Guapor?,RO
34,Nova Mamor?,RO
35,Alvorada D Oeste,RO
36,Alto Alegre dos Parecis,RO
37,Alto Para?so,RO
38,Buritis,RO
39,Novo Horizonte do Oeste,RO
40,Cacaul?ndia,RO
41,Campo Novo de Rond?nia,RO
42,Candeias do Jamari,RO
43,Castanheiras,RO
44,Chupinguaia,RO
45,Cujubim,RO
46,Governador Jorge Teixeira,RO
47,Itapu? do Oeste,RO
48,Ministro Andreazza,RO
49,Mirante da Serra,RO
50,Monte Negro,RO
51,Nova Uni?o,RO
52,Parecis,RO
53,Pimenteiras do Oeste,RO
54,Primavera de Rond?nia,RO
55,S?o Felipe D Oeste,RO
56,S?o Francisco do Guapor?,RO
57,Seringueiras,RO
58,Teixeir?polis,RO
59,Theobroma,RO
60,Urup?,RO
61,Vale do Anari,RO
62,Vale do Para?so,RO
63,Acrel?ndia,AC
64,Assis Brasil,AC
65,Brasil?ia,AC
66,Bujari,AC
67,Capixaba,AC
68,Cruzeiro do Sul,AC
69,Epitaciol?ndia,AC
70,Feij?,AC
71,Jord?o,AC
72,M?ncio Lima,AC
73,Manoel Urbano,AC
74,Marechal Thaumaturgo,AC
75,Pl?cido de Castro,AC
76,Porto Walter,AC
77,Rio Branco,AC
78,Rodrigues Alves,AC
79,Santa Rosa do Purus,AC
80,Senador Guiomard,AC
81,Sena Madureira,AC
82,Tarauac?,AC
83,Xapuri,AC
84,Porto Acre,AC
85,Alvar?es,AM
86,Amatur?,AM
87,Anam?,AM
88,Anori,AM
89,Apu?,AM
90,Atalaia do Norte,AM
91,Autazes,AM
92,Barcelos,AM
93,Barreirinha,AM
94,Benjamin Constant,AM
95,Beruri,AM
96,Boa Vista do Ramos,AM
97,Boca do Acre,AM
98,Borba,AM
99,Caapiranga,AM
100,Canutama,AM
101,Carauari,AM
102,Careiro,AM
103,Careiro da V?rzea,AM
104,Coari,AM
105,Codaj?s,AM
106,Eirunep?,AM
107,Envira,AM
108,Fonte Boa,AM
109,Guajar?,AM
110,Humait?,AM
111,Ipixuna,AM
112,Iranduba,AM
113,Itacoatiara,AM
114,Itamarati,AM
115,Itapiranga,AM
116,Japur?,AM
117,Juru?,AM
118,Juta?,AM
119,L?brea,AM
120,Manacapuru,AM
121,Manaquiri,AM
122,Manaus,AM
123,Manicor?,AM
124,Mara?,AM
125,Mau?s,AM
126,Nhamund?,AM
127,Nova Olinda do Norte,AM
128,Novo Air?o,AM
129,Novo Aripuan?,AM
130,Parintins,AM
131,Pauini,AM
132,Presidente Figueiredo,AM
133,Rio Preto da Eva,AM
134,Santa Isabel do Rio Negro,AM
135,Santo Ant?nio do I??,AM
136,S?o Gabriel da Cachoeira,AM
137,S?o Paulo de Oliven?a,AM
138,S?o Sebasti?o do Uatum?,AM
139,Silves,AM
140,Tabatinga,AM
141,Tapau?,AM
142,Tef?,AM
143,Tonantins,AM
144,Uarini,AM
145,Urucar?,AM
146,Urucurituba,AM
147,Amajari,RR
148,Alto Alegre,RR
149,Boa Vista,RR
150,Bonfim,RR
151,Cant?,RR
152,Caracara?,RR
153,Caroebe,RR
154,Iracema,RR
155,Mucaja?,RR
156,Normandia,RR
157,Pacaraima,RR
158,Rorain?polis,RR
159,S?o Jo?o da Baliza,RR
160,S?o Luiz,RR
161,Uiramut?,RR
162,Abaetetuba,PA
163,Abel Figueiredo,PA
164,Acar?,PA
165,Afu?,PA
166,?gua Azul do Norte,PA
167,Alenquer,PA
168,Almeirim,PA
169,Altamira,PA
170,Anaj?s,PA
5575,Ananindeua,PA
172,Anapu,PA
173,Augusto Corr?a,PA
174,Aurora do Par?,PA
175,Aveiro,PA
176,Bagre,PA
177,Bai?o,PA
178,Bannach,PA
179,Barcarena,PA
180,Bel?m,PA
181,Belterra,PA
182,Benevides,PA
183,Bom Jesus do Tocantins,PA
184,Bonito,PA
185,Bragan?a,PA
186,Brasil Novo,PA
187,Brejo Grande do Araguaia,PA
188,Breu Branco,PA
189,Breves,PA
190,Bujaru,PA
191,Cachoeira do Piri?,PA
192,Cachoeira do Arari,PA
193,Camet?,PA
194,Cana? dos Caraj?s,PA
195,Capanema,PA
196,Capit?o Po?o,PA
197,Castanhal,PA
198,Chaves,PA
199,Colares,PA
200,Concei??o do Araguaia,PA
201,Conc?rdia do Par?,PA
202,Cumaru do Norte,PA
203,Curion?polis,PA
204,Curralinho,PA
205,Curu?,PA
206,Curu??,PA
207,Dom Eliseu,PA
208,Eldorado dos Caraj?s,PA
209,Faro,PA
210,Floresta do Araguaia,PA
211,Garraf?o do Norte,PA
212,Goian?sia do Par?,PA
213,Gurup?,PA
214,Igarap?-A?u,PA
215,Igarap?-Miri,PA
216,Inhangapi,PA
217,Ipixuna do Par?,PA
218,Irituia,PA
219,Itaituba,PA
220,Itupiranga,PA
221,Jacareacanga,PA
222,Jacund?,PA
223,Juruti,PA
224,Limoeiro do Ajuru,PA
225,M?e do Rio,PA
226,Magalh?es Barata,PA
227,Marab?,PA
228,Maracan?,PA
229,Marapanim,PA
230,Marituba,PA
231,Medicil?ndia,PA
232,Melga?o,PA
233,Mocajuba,PA
234,Moju,PA
235,Monte Alegre,PA
236,Muan?,PA
237,Nova Esperan?a do Piri?,PA
238,Nova Ipixuna,PA
239,Nova Timboteua,PA
240,Novo Progresso,PA
241,Novo Repartimento,PA
242,?bidos,PA
243,Oeiras do Par?,PA
244,Oriximin?,PA
245,Our?m,PA
246,Ouril?ndia do Norte,PA
247,Pacaj?,PA
248,Palestina do Par?,PA
249,Paragominas,PA
250,Parauapebas,PA
251,Pau D Arco,PA
252,Peixe-Boi,PA
253,Pi?arra,PA
254,Placas,PA
255,Ponta de Pedras,PA
256,Portel,PA
257,Porto de Moz,PA
258,Prainha,PA
259,Primavera,PA
260,Quatipuru,PA
261,Reden??o,PA
262,Rio Maria,PA
263,Rondon do Par?,PA
264,Rur?polis,PA
265,Salin?polis,PA
266,Salvaterra,PA
267,Santa B?rbara do Par?,PA
268,Santa Cruz do Arari,PA
269,Santa Isabel do Par?,PA
270,Santa Luzia do Par?,PA
271,Santa Maria das Barreiras,PA
272,Santa Maria do Par?,PA
273,Santana do Araguaia,PA
274,Santar?m,PA
275,Santar?m Novo,PA
276,Santo Ant?nio do Tau?,PA
277,S?o Caetano de Odivelas,PA
278,S?o Domingos do Araguaia,PA
279,S?o Domingos do Capim,PA
280,S?o F?lix do Xingu,PA
281,S?o Francisco do Par?,PA
282,S?o Geraldo do Araguaia,PA
283,S?o Jo?o da Ponta,PA
284,S?o Jo?o de Pirabas,PA
285,S?o Jo?o do Araguaia,PA
286,S?o Miguel do Guam?,PA
287,S?o Sebasti?o da Boa Vista,PA
288,Sapucaia,PA
289,Senador Jos? Porf?rio,PA
290,Soure,PA
291,Tail?ndia,PA
292,Terra Alta,PA
293,Terra Santa,PA
294,Tom?-A?u,PA
295,Tracuateua,PA
296,Trair?o,PA
297,Tucum?,PA
298,Tucuru?,PA
299,Ulian?polis,PA
300,Uruar?,PA
301,Vigia,PA
302,Viseu,PA
303,Vit?ria do Xingu,PA
304,Xinguara,PA
305,Serra do Navio,AP
306,Amap?,AP
307,Pedra Branca do Amapari,AP
308,Cal?oene,AP
309,Cutias,AP
310,Ferreira Gomes,AP
311,Itaubal,AP
312,Laranjal do Jari,AP
313,Macap?,AP
314,Mazag?o,AP
315,Oiapoque,AP
316,Porto Grande,AP
317,Pracu?ba,AP
318,Santana,AP
319,Tartarugalzinho,AP
320,Vit?ria do Jari,AP
321,Abreul?ndia,TO
322,Aguiarn?polis,TO
323,Alian?a do Tocantins,TO
324,Almas,TO
325,Alvorada,TO
326,Anan?s,TO
327,Angico,TO
328,Aparecida do Rio Negro,TO
329,Aragominas,TO
330,Araguacema,TO
331,Aragua?u,TO
332,Aragua?na,TO
333,Araguan?,TO
334,Araguatins,TO
335,Arapoema,TO
336,Arraias,TO
337,Augustin?polis,TO
338,Aurora do Tocantins,TO
339,Axix? do Tocantins,TO
340,Baba?ul?ndia,TO
341,Bandeirantes do Tocantins,TO
342,Barra do Ouro,TO
343,Barrol?ndia,TO
344,Bernardo Say?o,TO
345,Bom Jesus do Tocantins,TO
346,Brasil?ndia do Tocantins,TO
347,Brejinho de Nazar?,TO
348,Buriti do Tocantins,TO
349,Cachoeirinha,TO
350,Campos Lindos,TO
351,Cariri do Tocantins,TO
352,Carmol?ndia,TO
353,Carrasco Bonito,TO
354,Caseara,TO
355,Centen?rio,TO
356,Chapada de Areia,TO
357,Chapada da Natividade,TO
358,Colinas do Tocantins,TO
359,Combinado,TO
360,Concei??o do Tocantins,TO
361,Couto Magalh?es,TO
362,Cristal?ndia,TO
363,Crix?s do Tocantins,TO
364,Darcin?polis,TO
365,Dian?polis,TO
366,Divin?polis do Tocantins,TO
367,Dois Irm?os do Tocantins,TO
368,Duer?,TO
369,Esperantina,TO
